exercise_name,action,excel_original_name,exercise_name_diff,force_diff,equipment_diff,mechanic_diff,difficulty_diff,advanced_isolated_muscles_diff
Eccentric Dragonflag,update,Eccentric Dragonflag,,push -> Push,bodyweight -> Bodyweight,isolation -> Isolation,intermediate -> Intermediate,
Dumbbell Incline Curl,update,Dumbbell Incline Curl,,pull -> Pull,dumbbell -> Dumbbells,isolation -> Isolation,novice -> Beginner,biceps brachii -> Long Head Bicep
Laying Alternating Leg Raise,update,Laying Alternating Leg Raise,,pull -> Pull,bodyweight -> Bodyweight,isolation -> Isolation,novice -> Beginner,rectus abdominis -> Lower Abdominals
Laying Bent Leg Raise,update,Laying Bent Leg Raise,,pull -> Pull,bodyweight -> Bodyweight,isolation -> Isolation,novice -> Beginner,rectus abdominis -> Lower Abdominals
Alternating Bent Leg Raise,update,Alternating Bent Leg Raise,,pull -> Pull,bodyweight -> Bodyweight,isolation -> Isolation,novice -> Beginner,rectus abdominis -> Lower Abdominals
Scissor Kick,update,Scissor Kick,,pull -> Pull,bodyweight -> Bodyweight,isolation -> Isolation,novice -> Beginner,
Sideways Scissor Kick,update,Sideways Scissor Kick,,pull -> Pull,bodyweight -> Bodyweight,isolation -> Isolation,beginner -> Beginner,
Windshield Wiper,update,Windshield Wiper,,pull -> Pull,bodyweight -> Bodyweight,isolation -> Isolation,intermediate -> Intermediate,obliques -> Obliques
Reach And Catch,insert,Reach And Catch,,None -> Pull,None -> Bodyweight,None -> Isolation,None -> Beginner,None -> Obliques
Oblique Crunch,insert,Oblique Crunch,,None -> Pull,None -> Bodyweight,None -> Isolation,None -> Beginner,None -> Obliques
Oblique Jackknife,insert,Oblique Jackknife,,None -> Pull,None -> Bodyweight,None -> Isolation,None -> Intermediate,None -> Obliques
Frog Crunch,update,Frog Crunch,,pull -> Pull,bodyweight -> Bodyweight,isolation -> Isolation,beginner -> Beginner,rectus abdominis -> Lower Abdominals
Frog Sit Up,update,Frog Sit Up,,pull -> Pull,bodyweight -> Bodyweight,isolation -> Isolation,beginner -> Beginner,rectus abdominis -> Upper Abdominals
Elbow Plank Mountain Climber,update,Elbow Plank Mountain Climber,,pull -> Pull,bodyweight -> Bodyweight,isolation -> Isolation,beginner -> Beginner,rectus abdominis -> Lower Abdominals
Slow Tempo Mountain Climber,insert,Slow Tempo Mountain Climber,,None -> Pull,None -> Bodyweight,None -> Compound,None -> Beginner,
Switch Jump Mountain Climber,update,Switch Jump Mountain Climber,,pull -> Pull,bodyweight -> Bodyweight,isolation -> Isolation,intermediate -> Intermediate,
Slalom Mountain Climber,update,Slalom Mountain Climber,,pull -> Pull,bodyweight -> Bodyweight,isolation -> Isolation,intermediate -> Intermediate,
Jumping Mountain Climber,update,Jumping Mountain Climber,,pull -> Pull,bodyweight -> Bodyweight,isolation -> Isolation,beginner -> Beginner,rectus abdominis -> Lower Abdominals
Ring Standing Pushup,insert,Ring Standing Pushup,,None -> Push,None -> Bodyweight,None -> Compound,None -> Beginner,None -> Anterior Deltoid; Chest
Ring Row,insert,Ring Row,,None -> Pull,None -> Bodyweight,None -> Compound,None -> Beginner,
Ring Standing Archer Pushup,insert,Ring Standing Archer Pushup,,None -> Push,None -> Bodyweight,None -> Compound,None -> Intermediate,None -> Chest
Ring Standing Chest Fly,insert,Ring Standing Chest Fly,,None -> Push,None -> Bodyweight,None -> Isolation,None -> Beginner,None -> Chest
Ring Rear Delt Fly,insert,Ring Rear Delt Fly,,None -> Pull,None -> Bodyweight,None -> Isolation,None -> Intermediate,None -> Traps (mid-back)
Ring Skullcrusher,insert,Ring Skullcrusher,,None -> Push,None -> Bodyweight,None -> Isolation,None -> Beginner,None -> Long Head Tricep
Ring Standing Roll Out,insert,Ring Standing Roll Out,,None -> Pull,None -> Bodyweight,None -> Compound,None -> Intermediate,
Ring Curl,insert,Ring Curl,,None -> Pull,None -> Bodyweight,None -> Isolation,None -> Beginner,
Bodyweight Assisted Pull Up,update,Bodyweight Assisted Pull Up,,pull -> Pull,machine -> Bodyweight,compound -> Compound,novice -> Beginner,
Bodyweight Assisted Chin Up,update,Bodyweight Assisted Chin Up,,pull -> Pull,machine -> Bodyweight,compound -> Compound,novice -> Beginner,
Bodyweight Assisted Gironda Chin Up,update,Bodyweight Assisted Gironda Chin Up,,pull -> Pull,machine -> Bodyweight,compound -> Compound,novice -> Beginner,
Bodyweight Assisted Mixed Grip Pullup,update,Bodyweight Assisted Mixed Grip Pullup,,pull -> Pull,machine -> Bodyweight,compound -> Compound,novice -> Beginner,
Bodyweight Hanging L Sit,update,Bodyweight Hanging L Sit,,pull -> Pull,machine -> Bodyweight,isolation -> Isolation,beginner -> Beginner,rectus abdominis -> Lower Abdominals
Bodyweight Hanging Knee Tuck,update,Bodyweight Hanging Knee Tuck,,pull -> Pull,machine -> Bodyweight,isolation -> Isolation,intermediate -> Intermediate,rectus abdominis -> Lower Abdominals
Bodyweight Underhand Inverted Row,update,Bodyweight Underhand Inverted Row,,pull -> Pull,machine -> Bodyweight,compound -> Compound,beginner -> Beginner,
Bodyweight Overhand Inverted Row,update,Bodyweight Overhand Inverted Row,,pull -> Pull,bodyweight -> Bodyweight,compound -> Compound,beginner -> Beginner,latissimus-dorsi -> Traps (mid-back)
Bodyweight Standing Inverted Row,update,Bodyweight Standing Inverted Row,,pull -> Pull,bodyweight -> Bodyweight,compound -> Compound,novice -> Beginner,latissimus-dorsi -> Traps (mid-back)
Bodyweight Concentration Curl,insert,Bodyweight Concentration Curl,,None -> Pull,None -> Bodyweight,None -> Isolation,None -> Beginner,
Bodyweight Inverted Curl,update,Bodyweight Inverted Curl,,pull -> Pull,machine -> Bodyweight,isolation -> Isolation,novice -> Beginner,
Bodyweight Close Grip Inverted Curl,update,Bodyweight Close Grip Inverted Curl,,pull -> Pull,machine -> Bodyweight,isolation -> Isolation,novice -> Beginner,
Stationary Bike,insert,Stationary Bike,,None -> Push,None -> Cardio,None -> Compound,None -> Beginner,
Bodyweight Butterfly Stretch,insert,Bodyweight Butterfly Stretch,,None -> Hold,None -> Bodyweight,None -> Isolation,None -> Beginner,
Bodyweight Ninety Ninety Hip Stretch,insert,Bodyweight Ninety Ninety Hip Stretch,,None -> Hold,None -> Bodyweight,None -> Isolation,None -> Beginner,
Bodyweight Thoracic Spine Rotation,insert,Bodyweight Thoracic Spine Rotation,,None -> Hold,None -> Bodyweight,None -> Isolation,None -> Beginner,None -> Obliques
Bodyweight Single Leg Balance Stable,insert,Bodyweight Single Leg Balance Stable,,None -> Hold,None -> Bodyweight,None -> Isolation,None -> Beginner,
Kettlebell Incline Guillotine Bench Press,insert,Kettlebell Incline Guillotine Bench Press,,None -> Push,None -> Kettlebells,None -> Compound,None -> Intermediate,None -> Chest
Kettlebell Swing Lunge,insert,Kettlebell Swing Lunge,,None -> Push,None -> Kettlebells,None -> Compound,None -> Intermediate,
Kettlebell Alternating Curtsy Lunge,insert,Kettlebell Alternating Curtsy Lunge,,None -> Push,None -> Kettlebells,None -> Compound,None -> Intermediate,
Kettlebell Alternating Lateral Lunge,insert,Kettlebell Alternating Lateral Lunge,,None -> Push,None -> Kettlebells,None -> Compound,None -> Intermediate,
Kettlebell Alternating Reverse Lunge,insert,Kettlebell Alternating Reverse Lunge,,None -> Push,None -> Kettlebells,None -> Compound,None -> Intermediate,
Kettlebell Alternating Forward Lunge,insert,Kettlebell Alternating Forward Lunge,,None -> Push,None -> Kettlebells,None -> Compound,None -> Intermediate,
Dumbbell Swing Lunge,insert,Dumbbell Swing Lunge,,None -> Push,None -> Dumbbells,None -> Compound,None -> Intermediate,
Dumbbell Goblet Alternating Curtsy Lunge,insert,Dumbbell Goblet Alternating Curtsy Lunge,,None -> Push,None -> Dumbbells,None -> Compound,None -> Intermediate,
Dumbbell Alternating Lateral Lunge,insert,Dumbbell Alternating Lateral Lunge,,None -> Push,None -> Dumbbells,None -> Compound,None -> Intermediate,
Dumbbell Alternating Reverse Lunge,insert,Dumbbell Alternating Reverse Lunge,,None -> Push,None -> Dumbbells,None -> Compound,None -> Intermediate,
Dumbbell Alternating Forward Lunge,insert,Dumbbell Alternating Forward Lunge,,None -> Push,None -> Dumbbells,None -> Compound,None -> Intermediate,
Weighted Plank Up Down,insert,Weighted Plank Up Down,,None -> Push,None -> Plate,None -> Compound,None -> Beginner,
Bodyweight Hands Up Push Ups,insert,Bodyweight Hands Up Push Ups,,None -> Push,None -> Bodyweight,None -> Compound,None -> Beginner,None -> Chest; Anterior Deltoid
Weighted Push Ups,insert,Weighted Push Ups,,None -> Push,None -> Plate,None -> Compound,None -> Intermediate,None -> Chest; Anterior Deltoid
Weighted Diamond Push Ups,insert,Weighted Diamond Push Ups,,None -> Push,None -> Plate,None -> Compound,None -> Intermediate,
Weighted Knee Push Ups,insert,Weighted Knee Push Ups,,None -> Push,None -> Plate,None -> Compound,None -> Beginner,None -> Chest
Bodyweight Single Leg Squat,insert,Bodyweight Single Leg Squat,,None -> Push,None -> Bodyweight,None -> Compound,None -> Advanced,
Bodyweight Plank Jack,insert,Bodyweight Plank Jack,,None -> Hold,None -> Bodyweight,None -> Compound,None -> Beginner,
Bodyweight Plank Arm Lift,update,Bodyweight Plank Arm Lift,,hold -> Hold,bodyweight -> Bodyweight,compound -> Compound,beginner -> Beginner,rectus abdominis -> Lateral Deltoid; Anterior Deltoid; Posterior Deltoid
Inchworm,insert,Inchworm,,None -> Pull,None -> Recovery,None -> Compound,None -> Beginner,
Weighted Wall Sit,insert,Weighted Wall Sit,,None -> Hold,None -> Plate,None -> Isolation,None -> Beginner,
Wall Sit,insert,Wall Sit,,None -> Hold,None -> Bodyweight,None -> Isolation,None -> Beginner,
Jump Rope,insert,Jump Rope,,None -> Push,None -> Cardio,None -> Isolation,None -> Beginner,
Wall Angels,insert,Wall Angels,,None -> Push,None -> Recovery,None -> Compound,None -> Beginner,
Butt Kick,insert,Butt Kick,,None -> Pull,None -> Cardio,None -> Compound,None -> Beginner,
Ankle Circle,insert,Ankle Circle,,None -> Push,None -> Recovery,None -> Isolation,None -> Beginner,
Kettlebell Assisted Bulgarian Split Squat,insert,Kettlebell Assisted Bulgarian Split Squat,,None -> Push,None -> Kettlebells,None -> Compound,None -> Beginner,
Dumbbell Assisted Bulgarian Split Squat,insert,Dumbbell Assisted Bulgarian Split Squat,,None -> Push,None -> Dumbbells,None -> Compound,None -> Beginner,
Plate Weighted Inverted Row,update,Plate Weighted Inverted Row,,pull -> Pull,plate -> Plate,compound -> Compound,intermediate -> Intermediate,latissimus-dorsi -> Traps (mid-back)
Dumbbell Weighted Pull Ups,insert,Dumbbell Weighted Pull Ups,,None -> Pull,None -> Dumbbells,None -> Compound,None -> Intermediate,None -> Traps (mid-back)
Dumbbell Weighted Chin Ups,update,Dumbbell Weighted Chin Ups,,pull -> Pull,dumbbell -> Dumbbells,compound -> Compound,advanced -> Advanced,
Weighted Pull Ups,update,Weighted Pull Ups,,pull -> Pull,machine -> Plate,compound -> Compound,advanced -> Advanced,latissimus dorsi -> Traps (mid-back)
Weighted Chin Ups,update,Weighted Chin Ups,,pull -> Pull,machine -> Plate,compound -> Compound,advanced -> Advanced,
Dumbbell Weighted Dip,insert,Dumbbell Weighted Dip,,None -> Push,None -> Dumbbells,None -> Compound,None -> Intermediate,None -> Chest
Plate Weighted Dip,insert,Plate Weighted Dip,,None -> Push,None -> Plate,None -> Compound,None -> Intermediate,None -> Chest
Dumbbell Internal Rotation,insert,Dumbbell Internal Rotation,,None -> Push,None -> Dumbbells,None -> Isolation,None -> Beginner,
Dumbbell External Rotation,update,Dumbbell External Rotation,,pull -> Pull,dumbbell -> Dumbbells,isolation -> Isolation,beginner -> Beginner,
Leg Raised Push Up,insert,Leg Raised Push Up,,None -> Push,None -> Bodyweight,None -> Compound,None -> Beginner,None -> Chest; Anterior Deltoid
Kettlebell Kneeling Bottoms Up Overhead Press,insert,Kettlebell Kneeling Bottoms Up Overhead Press,,None -> Push,None -> Kettlebells,None -> Compound,None -> Advanced,None -> Lateral Deltoid; Anterior Deltoid
Dumbbell Half Kneeling Single Arm Overhead Press,insert,Dumbbell Half Kneeling Single Arm Overhead Press,,None -> Push,None -> Dumbbells,None -> Isolation,None -> Intermediate,None -> Anterior Deltoid; Lateral Deltoid
Dumbbell Half Kneeling Overhead Press,insert,Dumbbell Half Kneeling Overhead Press,,None -> Push,None -> Dumbbells,None -> Isolation,None -> Intermediate,None -> Anterior Deltoid; Lateral Deltoid
Barbell Reverse Grip Bench Press,update,Barbell Reverse Grip Bench Press,,push -> Push,barbell -> Barbell,compound -> Compound,intermediate -> Intermediate,pectoralis major sternal head -> Chest; Lateral Head Triceps; Medial Head Triceps
Dumbbell Reverse Grip Bench Press,update,Dumbbell Reverse Grip Bench Press,,push -> Push,dumbbell -> Dumbbells,compound -> Compound,intermediate -> Intermediate,pectoralis major sternal head -> Chest; Lateral Head Triceps; Medial Head Triceps
Dumbbell Head On Bench Rear Delt Fly,update,Dumbbell Head On Bench Rear Delt Fly,,pull -> Pull,dumbbell -> Dumbbells,isolation -> Isolation,beginner -> Beginner,posterior deltoid -> Posterior Deltoid
Dumbbell Incline Front Raise,insert,Dumbbell Incline Front Raise,,None -> Push,None -> Dumbbells,None -> Isolation,None -> Beginner,None -> Anterior Deltoid
Barbell Seated Full Front Raise,insert,Barbell Seated Full Front Raise,,None -> Push,None -> Barbell,None -> Isolation,None -> Advanced,None -> Anterior Deltoid
Dumbbell Seated Single Arm Arnold Press,insert,Dumbbell Seated Single Arm Arnold Press,,None -> Push,None -> Dumbbells,None -> Compound,None -> Intermediate,None -> Anterior Deltoid; Lateral Deltoid
Dumbbell Seated Y Press,insert,Dumbbell Seated Y Press,,None -> Push,None -> Dumbbells,None -> Compound,None -> Beginner,None -> Anterior Deltoid
Dumbbell Alternating Rear Delt Fly,update,Dumbbell Alternating Rear Delt Fly,,pull -> Pull,dumbbell -> Dumbbells,isolation -> Isolation,intermediate -> Intermediate,posterior deltoid -> Posterior Deltoid
Band Upright Row,update,Band Upright Row,,pull -> Pull,band -> Band,isolation -> Isolation,advanced -> Advanced,anterior deltoid -> Lateral Deltoid; Anterior Deltoid
Barbell Suitcase Carry,insert,Barbell Suitcase Carry,,None -> Pull,None -> Barbell,None -> Compound,None -> Advanced,None -> Obliques
Dumbbell Farmer Walk,update,Dumbbell Farmer Walk,,hold -> Hold,dumbbell -> Dumbbells,isolation -> Isolation,beginner -> Beginner,None -> Wrist Extensors; Wrist Flexors
Barbell Sumo Pause Deadlift,insert,Barbell Sumo Pause Deadlift,,None -> Pull,None -> Barbell,None -> Compound,None -> Intermediate,
Dumbbell Y Press,insert,Dumbbell Y Press,,None -> Push,None -> Dumbbells,None -> Compound,None -> Beginner,None -> Anterior Deltoid
Dumbbell Cuban Press,insert,Dumbbell Cuban Press,,None -> Push,None -> Dumbbells,None -> Compound,None -> Intermediate,
Barbell Jefferson Deadlift,insert,Barbell Jefferson Deadlift,,None -> Pull,None -> Barbell,None -> Compound,None -> Advanced,
Barbell Conventional Pause Deadlift,insert,Barbell Conventional Pause Deadlift,,None -> Pull,None -> Barbell,None -> Compound,None -> Intermediate,
Barbell Block Conventional Deadlift,insert,Barbell Block Conventional Deadlift,,None -> Pull,None -> Barbell,None -> Compound,None -> Intermediate,
Barbell Deficit Conventional Deadlift,insert,Barbell Deficit Conventional Deadlift,,None -> Pull,None -> Barbell,None -> Compound,None -> Intermediate,
Barbell Bradford Press,update,Barbell Bradford Press,,push -> Push,barbell -> Barbell,compound -> Compound,intermediate -> Intermediate,
Dumbbell Six Way Lateral Raise,insert,Dumbbell Six Way Lateral Raise,,None -> Push,None -> Dumbbells,None -> Isolation,None -> Beginner,
Dumbbell Full Lateral Raise,update,Dumbbell Full Lateral Raise,,pull -> Pull,dumbbell -> Dumbbells,isolation -> Isolation,beginner -> Beginner,lateral deltoid -> Lateral Deltoid
Barbell Full Front Raise,insert,Barbell Full Front Raise,,None -> Push,None -> Barbell,None -> Isolation,None -> Intermediate,None -> Anterior Deltoid
Dumbbell Full Front Raise,insert,Dumbbell Full Front Raise,,None -> Push,None -> Dumbbells,None -> Isolation,None -> Intermediate,None -> Anterior Deltoid
Plate Weighted Dead Hang,insert,Plate Weighted Dead Hang,,None -> Hold,None -> Plate,None -> Isolation,None -> Intermediate,
L Sit Chin Up,update,L Sit Chin Up,,pull -> Pull,machine -> Bodyweight,compound -> Compound,intermediate -> Intermediate,
L Sit Pull Up,insert,L Sit Pull Up,,None -> Pull,None -> Bodyweight,None -> Compound,None -> Intermediate,None -> Traps (mid-back)
Hanging L Sit,update,Hanging L Sit,,hold -> Hold,machine -> Bodyweight,isolation -> Isolation,intermediate -> Intermediate,rectus abdominis -> Lower Abdominals
Dead Hang,insert,Dead Hang,,None -> Hold,None -> Bodyweight,None -> Isolation,None -> Beginner,
Medicine Ball Dead Bug,insert,Medicine Ball Dead Bug,,None -> Push,None -> Medicine_Ball,None -> Compound,None -> Intermediate,
Band Standing Chest Press,update,Band Standing Chest Press,,push -> Push,band -> Band,compound -> Compound,beginner -> Beginner,None -> Chest
Band Tricep Kickback,insert,Band Tricep Kickback,,None -> Push,None -> Band,None -> Isolation,None -> Beginner,
Band Squat Hold Single Arm Row,update,Band Squat Hold Single Arm Row,,pull -> Pull,band -> Band,compound -> Compound,novice -> Beginner,
Band Squat Hold Row,update,Band Squat Hold Row,,pull -> Pull,band -> Band,compound -> Compound,novice -> Beginner,
Band Goblet Squat,insert,Band Goblet Squat,,None -> Push,None -> Band,None -> Compound,None -> Beginner,
Band Single Arm Pulldown,update,Band Single Arm Pulldown,,pull -> Pull,band -> Band,compound -> Compound,novice -> Beginner,
Band Single Arm Row,update,Band Single Arm Row,,pull -> Pull,band -> Band,compound -> Compound,novice -> Beginner,
Machine Plate Loaded Crunch,insert,Machine Plate Loaded Crunch,,None -> Pull,None -> Machine,None -> Isolation,None -> Beginner,None -> Upper Abdominals
Machine Plate Loaded Incline Chest Press,insert,Machine Plate Loaded Incline Chest Press,,None -> Push,None -> Machine,None -> Compound,None -> Beginner,None -> Chest
Machine Plate Loaded Decline Chest Press,insert,Machine Plate Loaded Decline Chest Press,,None -> Push,None -> Machine,None -> Compound,None -> Beginner,None -> Chest
Machine Plate Loaded Low Incline Bench Press,insert,Machine Plate Loaded Low Incline Bench Press,,None -> Push,None -> Machine,None -> Compound,None -> Beginner,None -> Chest
Machine Bent Arm Pec Fly,insert,Machine Bent Arm Pec Fly,,None -> Push,None -> Machine,None -> Isolation,None -> Beginner,None -> Chest
Machine Plate Loaded Front Military Press,insert,Machine Plate Loaded Front Military Press,,None -> Push,None -> Machine,None -> Compound,None -> Beginner,
Machine Chest Supported T Bar Row,insert,Machine Chest Supported T Bar Row,,None -> Pull,None -> Machine,None -> Compound,None -> Beginner,
Machine Plate Loaded Pulldown,insert,Machine Plate Loaded Pulldown,,None -> Pull,None -> Machine,None -> Compound,None -> Beginner,None -> Lower Traps
Machine Rear Deltoid Row,insert,Machine Rear Deltoid Row,,None -> Pull,None -> Machine,None -> Isolation,None -> Beginner,None -> Posterior Deltoid
Machine Pullover,insert,Machine Pullover,,None -> Pull,None -> Machine,None -> Isolation,None -> Beginner,
Machine Seated Shrug,insert,Machine Seated Shrug,,None -> Pull,None -> Machine,None -> Isolation,None -> Beginner,
Machine Standing Shrug,insert,Machine Standing Shrug,,None -> Pull,None -> Machine,None -> Isolation,None -> Beginner,
Machine Back Extension,insert,Machine Back Extension,,None -> Push,None -> Machine,None -> Isolation,None -> Beginner,
Machine Standing Lateral Raise,insert,Machine Standing Lateral Raise,,None -> Push,None -> Machine,None -> Isolation,None -> Beginner,
Machine Standing Plate Loaded Preacher Curl,insert,Machine Standing Plate Loaded Preacher Curl,,None -> Pull,None -> Machine,None -> Isolation,None -> Beginner,None -> Short Head Bicep
Machine Seated Plate Loaded Preacher Curl,insert,Machine Seated Plate Loaded Preacher Curl,,None -> Pull,None -> Machine,None -> Isolation,None -> Beginner,None -> Short Head Bicep
Machine Overhead Tricep Extension,insert,Machine Overhead Tricep Extension,,None -> Push,None -> Machine,None -> Isolation,None -> Beginner,None -> Long Head Tricep
Machine Reverse Hyperextension,insert,Machine Reverse Hyperextension,,None -> Push,None -> Machine,None -> Compound,None -> Beginner,None -> Gluteus Maximus; Lateral Hamstrings
Machine Pendulum Squat,insert,Machine Pendulum Squat,,None -> Push,None -> Machine,None -> Compound,None -> Beginner,
Machine Single Leg Leg Press,insert,Machine Single Leg Leg Press,,None -> Push,None -> Machine,None -> Compound,None -> Beginner,
Machine Squat Press,insert,Machine Squat Press,,None -> Push,None -> Machine,None -> Compound,None -> Beginner,
Machine Donkey Calf Raise,insert,Machine Donkey Calf Raise,,None -> Push,None -> Machine,None -> Isolation,None -> Beginner,None -> Gastrocnemius
Machine 45 Degree Calf Raise,insert,Machine 45 Degree Calf Raise,,None -> Push,None -> Machine,None -> Isolation,None -> Beginner,
Machine Plate Loaded Hip Thrust,insert,Machine Plate Loaded Hip Thrust,,None -> Push,None -> Machine,None -> Compound,None -> Beginner,
Machine Plate Loaded Low Row,insert,Machine Plate Loaded Low Row,,None -> Pull,None -> Machine,None -> Compound,None -> Beginner,None -> Posterior Deltoid; Traps (mid-back)
Machine Plate Loaded Seal Row,insert,Machine Plate Loaded Seal Row,,None -> Pull,None -> Machine,None -> Compound,None -> Beginner,
Machine Plate Loaded T Bar Row,insert,Machine Plate Loaded T Bar Row,,None -> Pull,None -> Machine,None -> Compound,None -> Beginner,
Machine Plate Loaded Row,insert,Machine Plate Loaded Row,,None -> Pull,None -> Machine,None -> Compound,None -> Beginner,
Machine Bicep Curl,insert,Machine Bicep Curl,,None -> Pull,None -> Machine,None -> Isolation,None -> Beginner,
Machine Tricep Pushdown,insert,Machine Tricep Pushdown,,None -> Push,None -> Machine,None -> Isolation,None -> Beginner,
Machine Dips,insert,Machine Dips,,None -> Push,None -> Machine,None -> Compound,None -> Beginner,None -> Chest
Machine Standing Hamstring Curl,insert,Machine Standing Hamstring Curl,,None -> Pull,None -> Machine,None -> Isolation,None -> Beginner,
Machine Plate Loaded Kneeling Hamstring Curl,insert,Machine Plate Loaded Kneeling Hamstring Curl,,None -> Pull,None -> Machine,None -> Isolation,None -> Beginner,
Horizontal Hack Squat,insert,Horizontal Hack Squat,,None -> Push,None -> Machine,None -> Compound,None -> Beginner,
Machine Crunch,insert,Machine Crunch,,None -> Pull,None -> Machine,None -> Isolation,None -> Beginner,None -> Upper Abdominals
Machine Glute Kickback,insert,Machine Glute Kickback,,None -> Push,None -> Machine,None -> Isolation,None -> Beginner,
Machine Plate Loaded Calf Raise,insert,Machine Plate Loaded Calf Raise,,None -> Push,None -> Machine,None -> Isolation,None -> Intermediate,
Gluteator,insert,Gluteator,,None -> Push,None -> Machine,None -> Isolation,None -> Beginner,
Vertical Leg Press,insert,Vertical Leg Press,,None -> Push,None -> Machine,None -> Compound,None -> Beginner,
Machine Belt Squat,insert,Machine Belt Squat,,None -> Push,None -> Machine,None -> Compound,None -> Beginner,
Machine Plate Loaded Leg Extension,insert,Machine Plate Loaded Leg Extension,,None -> Push,None -> Machine,None -> Isolation,None -> Beginner,
Machine Seated Hamstring Curl,insert,Machine Seated Hamstring Curl,,None -> Pull,None -> Machine,None -> Isolation,None -> Beginner,
Dumbbell Laying Curl,insert,Dumbbell Laying Curl,,None -> Pull,None -> Dumbbells,None -> Isolation,None -> Beginner,
Elliptical,insert,Elliptical,,None -> Push,None -> Cardio,None -> Compound,None -> Beginner,
Cable High Bayesian Curl,insert,Cable High Bayesian Curl,,None -> Pull,None -> Cables,None -> Isolation,None -> Beginner,
Cable Single Arm Overhead Tricep Extension,insert,Cable Single Arm Overhead Tricep Extension,,None -> Push,None -> Cables,None -> Isolation,None -> Beginner,
Cable Overhead Tricep Press,insert,Cable Overhead Tricep Press,,None -> Push,None -> Cables,None -> Isolation,None -> Intermediate,
Cable Internal Rotation,insert,Cable Internal Rotation,,None -> Push,None -> Cables,None -> Isolation,None -> Beginner,
Cable External Rotation,insert,Cable External Rotation,,None -> Pull,None -> Cables,None -> Isolation,None -> Beginner,
Cable Kayak Row,insert,Cable Kayak Row,,None -> Pull,None -> Cables,None -> Isolation,None -> Beginner,
Cable Belt Calf Raise,insert,Cable Belt Calf Raise,,None -> Push,None -> Cables,None -> Isolation,None -> Beginner,None -> Gastrocnemius
Cable Belt Split Squat,insert,Cable Belt Split Squat,,None -> Push,None -> Cables,None -> Compound,None -> Beginner,
Cable Belt Squat,insert,Cable Belt Squat,,None -> Push,None -> Cables,None -> Compound,None -> Beginner,
Barbell Muscle Snatch,insert,Barbell Muscle Snatch,,None -> Pull,None -> Barbell,None -> Compound,None -> Intermediate,
Barbell High Pull,insert,Barbell High Pull,,None -> Pull,None -> Barbell,None -> Compound,None -> Intermediate,None -> Traps (mid-back)
Barbell Split Jerk,insert,Barbell Split Jerk,,None -> Push,None -> Barbell,None -> Compound,None -> Intermediate,
Barbell Power Snatch,insert,Barbell Power Snatch,,None -> Pull,None -> Barbell,None -> Compound,None -> Intermediate,
Barbell Clean And Jerk,insert,Barbell Clean And Jerk,,None -> Push,None -> Barbell,None -> Compound,None -> Advanced,
Barbell Snatch,insert,Barbell Snatch,,None -> Pull,None -> Barbell,None -> Compound,None -> Advanced,
Barbell Snatch Grip High Pull,insert,Barbell Snatch Grip High Pull,,None -> Pull,None -> Barbell,None -> Compound,None -> Intermediate,None -> Traps (mid-back)
Kettlebell Front Rack Deficit Reverse Lunge,insert,Kettlebell Front Rack Deficit Reverse Lunge,,None -> Push,None -> Kettlebells,None -> Compound,None -> Advanced,
Dumbbell Front Rack Deficit Reverse Lunge,insert,Dumbbell Front Rack Deficit Reverse Lunge,,None -> Push,None -> Dumbbells,None -> Compound,None -> Advanced,
Dumbbell Goblet Deficit Reverse Lunge,insert,Dumbbell Goblet Deficit Reverse Lunge,,None -> Push,None -> Dumbbells,None -> Compound,None -> Advanced,
Plate Goblet Deficit Reverse Lunge,insert,Plate Goblet Deficit Reverse Lunge,,None -> Push,None -> Plate,None -> Compound,None -> Intermediate,
Kettlebell Staggered Waiters Bow,insert,Kettlebell Staggered Waiters Bow,,None -> Pull,None -> Kettlebells,None -> Compound,None -> Intermediate,
Kettlebell Deficit Reverse Lunge,insert,Kettlebell Deficit Reverse Lunge,,None -> Push,None -> Kettlebells,None -> Compound,None -> Intermediate,
Dumbbell Deficit Reverse Lunge,insert,Dumbbell Deficit Reverse Lunge,,None -> Push,None -> Dumbbells,None -> Compound,None -> Advanced,
Bodyweight Deficit Reverse Lunge,insert,Bodyweight Deficit Reverse Lunge,,None -> Push,None -> Bodyweight,None -> Compound,None -> Intermediate,
Dumbbell Laying Incline Lateral Raise,insert,Dumbbell Laying Incline Lateral Raise,,None -> Pull,None -> Dumbbells,None -> Isolation,None -> Beginner,None -> Lateral Deltoid
Bodyweight Staggered Waiters Bow,insert,Bodyweight Staggered Waiters Bow,,None -> Pull,None -> Bodyweight,None -> Compound,None -> Intermediate,None -> Gluteus Maximus; Lateral Hamstrings
Plate Staggered Waiters Bow,insert,Plate Staggered Waiters Bow,,None -> Pull,None -> Plate,None -> Compound,None -> Intermediate,
Dumbbell Staggered Waiters Bow,insert,Dumbbell Staggered Waiters Bow,,None -> Pull,None -> Dumbbells,None -> Compound,None -> Advanced,None -> Gluteus Maximus; Lateral Hamstrings
Bodyweight Waiters Bow,insert,Bodyweight Waiters Bow,,None -> Pull,None -> Bodyweight,None -> Compound,None -> Beginner,None -> Gluteus Maximus; Lateral Hamstrings
Dumbbell Waiters Bow,insert,Dumbbell Waiters Bow,,None -> Pull,None -> Dumbbells,None -> Compound,None -> Intermediate,None -> Gluteus Maximus; Lateral Hamstrings
