exercise_name,primary muscle group,secondary muscle group,tertiary muscle group,force,equipment,mechanic,difficulty,advanced_isolated_muscles
Internally Rotated Seated Rear Delt Fly,Posterior Deltoid; Rear Shoulders,Traps (mid-back),,Pull,Dumbbells,Isolation,Beginner,Posterior Deltoid; Traps (mid-back)
Seated Lateral Raise,Lateral Deltoid; Front Shoulders,,,Push,Dumbbells,Isolation,Novice,Lateral Deltoid
Standing Tibialis Raise,Tibialis,,,,Barbell,Isolation,Beginner,Tibialis
Dumbbell Standing Tibialis Raise,Tibialis,,,Pull,Dumbbells,Isolation,Beginner,Tibialis
Kettlebell Alternating Row,Lats,Biceps,Forearms,Pull,Kettlebells,Compound,Beginner,
Kettlebell Alternating Swing,Glutes; Hamstrings,Lower back,,Pull,Kettlebells,Compound,Intermediate,
Kettlebell Bench Press,Chest,Triceps,,Push,Kettlebells,Compound,Novice,Chest
Kettlebell Clean And Press,Glutes,Shoulders; Lateral Deltoid; Anterior Deltoid; Front Shoulders,,Push,Kettlebells,Compound,Advanced,Lateral Deltoid; Anterior Deltoid
Kettlebell Conventional Deadlift (Double),Glutes,Hamstrings,Lower back,Pull,Kettlebells,Compound,Beginner,
Kettlebell Curl,Biceps,,,Pull,Kettlebells,Isolation,Novice,
Kettlebell Snatch (Double),Glutes,Shoulders; Anterior Deltoid; Front Shoulders,,Pull,Kettlebells,Compound,Advanced,Anterior Deltoid
Kettlebell Swing (Double),Hamstrings,Glutes,Lower back,Pull,Kettlebells,Compound,Intermediate,
Kettlebell Figure Four Hip Thrust,Glutes,,,Push,Kettlebells,Compound,Intermediate,
Kettlebell Forward Lunge (Double),Glutes; Quads,,,Push,Kettlebells,Compound,Intermediate,
Kettlebell Front Rack Curtsy Lunge (Double),Glutes; Gluteus Medius,Quads,Abdominals,Push,Kettlebells,Compound,Advanced,Gluteus Medius
Kettlebell Front Rack Forward Lunge (Double),Glutes; Quads,Abdominals,,Push,Kettlebells,Compound,Intermediate,
Kettlebell Front Rack Lateral Lunge (Double),Glutes; Gluteus Medius; Quads; Inner Quadriceps,Abdominals,,Push,Kettlebells,Compound,Advanced,Gluteus Medius; Inner Quadriceps
Kettlebell Front Rack Reverse Lunge (Double),Glutes; Quads,Abdominals,,Push,Kettlebells,Compound,Intermediate,
Kettlebell Front Rack Single Arm Lateral Lunge,Glutes; Quads,Abdominals,,Push,Kettlebells,Compound,Intermediate,
Kettlebell Front Rack Squat,Glutes; Quads,Abdominals,,Push,Kettlebells,Compound,Beginner,
Kettlebell Full Swing,Glutes; Hamstrings,Lower back,Shoulders; Anterior Deltoid; Front Shoulders,Push,Kettlebells,Compound,Intermediate,Anterior Deltoid
Kettlebell Gorilla Row,Lats,Biceps,Obliques,Pull,Kettlebells,Compound,Intermediate,Obliques
Kettlebell Guillotine Bench Press,Chest,Triceps,,Push,Kettlebells,Compound,Intermediate,Chest
Kettlebell Lateral Lunge,Glutes; Quads; Inner Quadriceps,,,Push,Kettlebells,Compound,Intermediate,Inner Quadriceps
Kettlebell Pec Fly,Chest,,,Push,Kettlebells,Isolation,Beginner,Chest
Kettlebell Push Press,Shoulders; Anterior Deltoid; Front Shoulders,Lateral Deltoid; Triceps,,Push,Kettlebells,Compound,Beginner,Anterior Deltoid; Lateral Deltoid
Kettlebell Rear Delt Row (Double),Posterior Deltoid; Rear Shoulders,Traps (mid-back),Biceps,Pull,Kettlebells,Compound,Beginner,Posterior Deltoid; Traps (mid-back)
Kettlebell Reverse Curl,Biceps; Forearms,,,Pull,Kettlebells,Isolation,Beginner,
Kettlebell Reverse Lunge,Glutes; Quads,,,Push,Kettlebells,Compound,Novice,
Kettlebell Romanian Deadlift,Glutes; Hamstrings,Lower back,,Pull,Kettlebells,Compound,Beginner,
Kettlebell Row,Lats,Biceps,Forearms,Pull,Kettlebells,Compound,Beginner,
Kettlebell Shrug,Traps; Upper Traps,,,Pull,Kettlebells,Isolation,Novice,Upper Traps
Kettlebell Silverback Shrug,Traps (mid-back); Upper Traps,,,Pull,Kettlebells,Isolation,Beginner,Traps (mid-back); Upper Traps
Kettlebell Single Arm Clean And Press,Glutes,Shoulders; Anterior Deltoid; Front Shoulders,Lateral Deltoid; Triceps,Push,Kettlebells,Compound,Intermediate,Anterior Deltoid; Lateral Deltoid
Kettlebell Single Arm Curtsy Lunge,Glutes; Gluteus Medius; Gluteus Maximus,Quads; Inner Quadriceps,,Push,Kettlebells,Compound,Intermediate,Gluteus Medius; Gluteus Maximus; Inner Quadriceps
Kettlebell Single Arm Front Rack Forward Lunge,Glutes; Quads,Abdominals,,Push,Kettlebells,Compound,Intermediate,
Kettlebell Single Arm Front Rack Reverse Lunge,Glutes; Quads,Abdominals,,Push,Kettlebells,Compound,Intermediate,
Kettlebell Single Arm Snatch,Glutes,Shoulders; Anterior Deltoid; Front Shoulders,,Push,Kettlebells,Compound,Intermediate,Anterior Deltoid
Kettlebell Single Arm Swing,Glutes; Hamstrings,Lower back,,Push,Kettlebells,Compound,Beginner,
Kettlebell Staggered Deadlift,Glutes; Hamstrings,Lower back,,Push,Kettlebells,Compound,Intermediate,
Kettlebell Staggered Swing,Glutes; Hamstrings,Lower back,,Push,Kettlebells,Compound,Intermediate,
Kettlebell Sumo Deadlift,Glutes,Lower back; Quads,,Push,Kettlebells,Compound,Beginner,
Swing To Upright Row,Shoulders; Lateral Deltoid; Anterior Deltoid; Front Shoulders,Glutes; Hamstrings,Lower back; Traps,Push,Kettlebells,Compound,Intermediate,Lateral Deltoid; Anterior Deltoid
Smith Machine Drag Curl,Biceps; Long Head Bicep; Short Head Bicep,,,Pull,Smith-Machine,Isolation,Beginner,Long Head Bicep; Short Head Bicep
Smith Machine Glute Kickback,Glutes,,,Push,Smith-Machine,Isolation,Intermediate,
Smith Machine Hanging Knee Tuck,Abdominals,,,Pull,Smith-Machine,Isolation,Beginner,
Smith Machine Underhand Row,Lats,Biceps,,Pull,Smith-Machine,Compound,Novice,
Smith Machine Sissy Squat,Quads; Rectus Femoris,,,Push,Smith-Machine,Isolation,Advanced,Rectus Femoris
Smith Machine Oblique Crunch,Obliques,,,Pull,Smith-Machine,Compound,Advanced,Obliques
Smith Machine Reverse Crunch Hip Raise,Lower Abdominals,,,Push,Smith-Machine,Isolation,Intermediate,Lower Abdominals
Smith Machine Leg Press,Quads,Glutes,,Push,Smith-Machine,Compound,Intermediate,
Smith Machine Side Plank Up Down,Obliques,,,Push,Smith-Machine,Isolation,Beginner,Obliques
Smith Machine Situp,Abdominals; Upper Abdominals,,,Push,Smith-Machine,Isolation,Beginner,Upper Abdominals
Smith Machine Single Leg Hip Thrust,Glutes,,,Push,Smith-Machine,Compound,Intermediate,
Smith Machine Hip Thrust,Glutes,,,Push,Smith-Machine,Compound,Novice,
Smith Machine Seated Calf Raise,Calves,,,Push,Smith-Machine,Isolation,Novice,
Smith Machine Skullcrusher,Triceps,,,Push,Smith-Machine,Isolation,Intermediate,
Smith Machine Guillotine Bench Press,Chest,Triceps,,Push,Smith-Machine,Compound,Intermediate,Chest
Smith Machine Close Grip Bench Press,Triceps,Chest,,Push,Smith-Machine,Compound,Beginner,Chest
Smith Machine Bench Press,Chest,Triceps; Lateral Head Triceps; Medial Head Triceps,Shoulders,Push,Smith-Machine,Compound,Novice,Chest; Lateral Head Triceps; Medial Head Triceps
Smith Machine Incline Bench Press,Chest,Shoulders; Triceps,,Push,Smith-Machine,Compound,Beginner,Chest
Smith Machine Seated Overhead Press,Shoulders; Anterior Deltoid; Front Shoulders,Lateral Deltoid,,Push,Smith-Machine,Compound,Beginner,Anterior Deltoid; Lateral Deltoid
Smith Machine Bodyweight Skullcrusher,Triceps,,,Push,Smith-Machine,Isolation,Beginner,
Smith Machine Inverted Row,Traps (mid-back); Lats,Biceps,Forearms,Pull,Smith-Machine,Compound,Beginner,Traps (mid-back)
Smith Machine Overhand Row,Lats,Biceps,Lower back,Pull,Smith-Machine,Compound,Beginner,
Smith Machine Upright Row,Shoulders; Lateral Deltoid; Front Shoulders,Traps,,Pull,Smith-Machine,Isolation,Intermediate,Lateral Deltoid
Smith Machine Assisted Pullup,Lats,Traps (mid-back),Biceps,Pull,Smith-Machine,Compound,Novice,Traps (mid-back)
Smith Machine Pushup,Chest; Mid and Lower Chest,,,Push,Smith-Machine,Compound,Beginner,Chest; Mid and Lower Chest
Smith Machine Side Bend,Obliques,,,Pull,Smith-Machine,Isolation,Novice,Obliques
Smith Machine Calf Raise,Calves,,,Push,Smith-Machine,Isolation,Novice,
Smith Machine Sumo Romanian Deadlift,Glutes,Hamstrings,Lower back,Pull,Smith-Machine,Compound,Intermediate,
Smith Machine Staggered Deadlift,Hamstrings,Glutes,,Push,Smith-Machine,Compound,Intermediate,
Smith Machine Romanian Deadlift,Hamstrings,Glutes,Lower back,Pull,Smith-Machine,Compound,Beginner,
Smith Machine Split Squat,Quads,Glutes,,Push,Smith-Machine,Compound,Intermediate,
Smith Machine Reverse Lunge,Quads,Glutes,,Push,Smith-Machine,Compound,Intermediate,
Smith Machine Narrow Stance Squat,Quads,Glutes,,Push,Smith-Machine,Compound,Beginner,
Smith Machine Squat,Quads,Glutes,,Push,Smith-Machine,Compound,Beginner,
Cable Zercher Squat,Glutes; Quads,Lower back,,Push,Cables,Compound,Intermediate,
Cable Tricep Kickback,Triceps,,,Push,Cables,Isolation,Beginner,
Cable Row Bar Standing Row,Lats,Biceps,Traps (mid-back),Pull,Cables,Compound,Novice,Traps (mid-back)
Cable Single Arm Underhand Grip Row,Lats,Biceps,Traps (mid-back),Pull,Cables,Compound,Novice,Traps (mid-back)
Cable Single Arm Neutral Grip Row,Lats,Biceps,Traps (mid-back),Pull,Cables,Compound,Novice,Traps (mid-back)
Cable Single Arm Rear Delt Row,Shoulders; Posterior Deltoid; Rear Shoulders,Traps (mid-back),,Pull,Cables,Compound,Advanced,Posterior Deltoid; Traps (mid-back)
Cable Supinating Row,Lats,Posterior Deltoid,Biceps,Pull,Cables,Compound,Beginner,Posterior Deltoid
Cable Archer Row,Lats,Posterior Deltoid,Biceps,Pull,Cables,Compound,Intermediate,Posterior Deltoid
Cable Half Kneeling Low To High Wood Chopper,Obliques,,,Pull,Cables,Isolation,Beginner,Obliques
Cable Half Kneeling Wood Chopper,Obliques,,,Pull,Cables,Isolation,Beginner,Obliques
Cable Half Kneeling High To Low Wood Chopper,Obliques,,,Pull,Cables,Isolation,Beginner,Obliques
Cable Straight Arm Pull In,Lats,,,Pull,Cables,Compound,Beginner,
Cable Rope Lat Prayer,Lats,,,Pull,Cables,Isolation,Intermediate,
Cable Rope Pullover,Lats,,,Pull,Cables,Isolation,Beginner,
Cable Seated Bayesian Reverse Curl,Biceps; Long Head Bicep,Forearms,,Pull,Cables,Isolation,Intermediate,Long Head Bicep
Cable Seated Bayesian Hammer Curl,Biceps; Long Head Bicep,,,Pull,Cables,Isolation,Beginner,Long Head Bicep
Cable Seated Bayesian Curl,Biceps,,,Pull,Cables,Isolation,Beginner,
Cable Single Arm Incline Chest Fly,Chest; Upper Pectoralis,,,Push,Cables,Isolation,Beginner,Chest; Upper Pectoralis
Cable Single Arm Incline Bench Press,Chest; Upper Pectoralis,Triceps,Anterior Deltoid,Push,Cables,Compound,Beginner,Chest; Upper Pectoralis; Anterior Deltoid
Cable Single Arm Bench Chest Fly,Chest,,,Push,Cables,Isolation,Beginner,Chest
Cable Single Arm Bench Press,Chest,Triceps,Anterior Deltoid,Push,Cables,Compound,Beginner,Chest; Anterior Deltoid
Cable Single Arm Decline Bench Chest Fly,Chest,,,Push,Cables,Isolation,Beginner,Chest
Cable Decline Single Arm Bench Press,Chest,Triceps,Anterior Deltoid,Push,Cables,Compound,Beginner,Chest; Anterior Deltoid
Cable Incline Chest Fly,Chest; Upper Pectoralis,,,Push,Cables,Isolation,Beginner,Chest; Upper Pectoralis
Cable Incline Bench Press,Chest; Upper Pectoralis,Triceps,Anterior Deltoid,Push,Cables,Compound,Beginner,Chest; Upper Pectoralis; Anterior Deltoid
Cable Bench Chest Fly,Chest,,,Push,Cables,Isolation,Novice,Chest
Cable Bench Press,Chest,Triceps,Anterior Deltoid,Push,Cables,Compound,Novice,Chest; Anterior Deltoid
Cable Decline Bench Chest Fly,Chest,,,Push,Cables,Isolation,Beginner,Chest
Cable Decline Bench Press,Chest,Triceps,Anterior Deltoid,Push,Cables,Compound,Beginner,Chest; Anterior Deltoid
Cable Seated Leg Curl,Hamstrings; Medial Hamstrings,,,Pull,Cables,Isolation,Advanced,Medial Hamstrings
Cable Seated Leg Extension,Quads,,,Push,Cables,Isolation,Beginner,
Cable Single Leg Laying Leg Curl,Medial Hamstrings,,,Pull,Cables,Isolation,Advanced,Medial Hamstrings
Cable Rope Kneeling Face Pull,Posterior Deltoid; Rear Shoulders,Traps (mid-back),,Pull,Cables,Isolation,Novice,Posterior Deltoid; Traps (mid-back)
Cable Rope Kneeling Oblique Crunch,Abdominals,,,Pull,Cables,Isolation,Beginner,
Cable Rope Kneeling Crunch,Abdominals,,,Pull,Cables,Isolation,Beginner,
Cable Quadruped Hip Abduction,Glutes,,,Push,Cables,Isolation,Beginner,
Cable Incline Bench Straight Leg Kickback,Glutes,Lower back,,Push,Cables,Compound,Beginner,
Cable Bench Straight Leg Kickback,Glutes,Lower back,,Push,Cables,Compound,Beginner,
Cable Standing Hip Adduction,Glutes; Inner Thigh; Groin,,,Pull,Cables,Isolation,Beginner,Inner Thigh
Cable Standing Mid Kickback,Glutes,,,Push,Cables,Isolation,Beginner,
Cable Standing Straight Leg Mid Kickback,Lower back; Glutes,,,Push,Cables,Isolation,Beginner,
Cable Standing Glute Kickback,Glutes,,,Push,Cables,Isolation,Beginner,
Cable Low Bilateral Lateral Raise,Shoulders; Lateral Deltoid; Front Shoulders,,,Push,Cables,Isolation,Novice,Lateral Deltoid
Cable Bar Front Raise,Shoulders; Anterior Deltoid; Front Shoulders,,,Push,Cables,Isolation,Novice,Anterior Deltoid
Cable Zercher Good Morning,Glutes; Gluteus Maximus; Hamstrings; Lateral Hamstrings,Lower back,,Pull,Cables,Compound,Advanced,Gluteus Maximus; Lateral Hamstrings
Cable Bar Staggered Romanian Deadlift,Glutes; Gluteus Maximus; Hamstrings; Lateral Hamstrings,Lower back,,Pull,Cables,Compound,Intermediate,Gluteus Maximus; Lateral Hamstrings
Cable Bar Reverse Grip Curl,Forearms,Biceps,,Pull,Cables,Isolation,Novice,
Cable Bar Curl,Biceps; Long Head Bicep; Short Head Bicep,,,Pull,Cables,Isolation,Novice,Long Head Bicep; Short Head Bicep
Cable Bar Reverse Grip Pushdown,Triceps,,,Push,Cables,Isolation,Beginner,
Cable Bar Pushdown,Triceps,,,Push,Cables,Isolation,Novice,
Cable Rope Single Arm Low Lateral Raise,Shoulders; Lateral Deltoid; Front Shoulders,,,Push,Cables,Isolation,Beginner,Lateral Deltoid
Cable Rope Mid Lateral Raise,Shoulders; Lateral Deltoid; Front Shoulders,,,Push,Cables,Isolation,Beginner,Lateral Deltoid
Cable Single Arm Skullcrusher,Triceps; Long Head Tricep,,,Push,Cables,Isolation,Beginner,Long Head Tricep
Cable Rope Front Raise,Anterior Deltoid; Front Shoulders,,,Push,Cables,Isolation,Novice,Anterior Deltoid
Cable Single Arm Rope Pushdown,Triceps,,,Push,Cables,Isolation,Novice,
Cable Rope Upright Row,Shoulders; Lateral Deltoid; Front Shoulders,Traps,,Pull,Cables,Compound,Beginner,Lateral Deltoid
Cable Rope Hammer Curl,Biceps; Long Head Bicep; Short Head Bicep,,,Pull,Cables,Isolation,Novice,Long Head Bicep; Short Head Bicep
Cable Elevated Deadlift,Glutes; Gluteus Maximus; Hamstrings; Lateral Hamstrings,Lower back,,Pull,Cables,Compound,Intermediate,Gluteus Maximus; Lateral Hamstrings
Cable High Reverse Fly,Shoulders; Posterior Deltoid; Rear Shoulders,,,Pull,Cables,Isolation,Novice,Posterior Deltoid
Cable Single Arm Internally Rotated High Reverse Fly,Shoulders; Posterior Deltoid; Rear Shoulders,,,Pull,Cables,Isolation,Beginner,Posterior Deltoid
Cable High Internally Rotated Reverse Fly,Shoulders; Posterior Deltoid; Rear Shoulders,,,Pull,Cables,Isolation,Beginner,Posterior Deltoid
Cable Single Arm Cross Pushdown,Triceps,,,Push,Cables,Isolation,Beginner,
Cable Pallof Press Rotation,Obliques,,,Push,Cables,Isolation,Beginner,Obliques
Cable Oblique Pushdown,Obliques,,,Pull,Cables,Isolation,Beginner,Obliques
Cable Side Bend,Obliques,,,Pull,Cables,Isolation,Novice,Obliques
Cable Bar Calve Raise,Calves; Gastrocnemius,,,Push,Cables,Isolation,Novice,Gastrocnemius
Cable Hammer Bayesian Curl,Biceps; Long Head Bicep,,,Pull,Cables,Isolation,Novice,Long Head Bicep
Cable Reverse Bayesian Curl,Biceps; Long Head Bicep,Forearms,,Pull,Cables,Isolation,Beginner,Long Head Bicep
Cable Bayesian Curl,Biceps,,,Pull,Cables,Isolation,Beginner,
Cable Single Arm 30 Degree Shrug,Upper Traps,,,Pull,Cables,Isolation,Beginner,Upper Traps
Barbell Behind The Neck Seated Overhead Press,Shoulders; Lateral Deltoid; Anterior Deltoid; Front Shoulders,Triceps,,Push,Barbell,Compound,Advanced,Lateral Deltoid; Anterior Deltoid
Barbell Drag Curl,Biceps; Long Head Bicep; Short Head Bicep,,,Pull,Barbell,Isolation,Intermediate,Long Head Bicep; Short Head Bicep
Barbell Figure Four Hip Thrust,Glutes,,,Push,Barbell,Compound,Intermediate,
Barbell Front Squat With Straps,Glutes; Quads,,Abdominals,Push,Barbell,Compound,Intermediate,
Barbell High Incline Bench Press,Chest,Shoulders; Triceps,,Push,Barbell,Compound,Intermediate,Chest
Barbell Single Leg Hip Thrust,Glutes,,,Push,Barbell,Compound,Beginner,
Dumbbell Bench Wrist Curl,Forearms,,,Pull,Dumbbells,Isolation,Novice,
Dumbbell Bench Wrist Extension,Forearms,,,Push,Dumbbells,Isolation,Novice,
Dumbbell Bent Arm Lateral Raise,Shoulders; Lateral Deltoid; Front Shoulders,,,Push,Dumbbells,Isolation,Beginner,Lateral Deltoid
Dumbbell Cross Body Romanian Deadlift,Glutes; Gluteus Maximus; Hamstrings; Lateral Hamstrings,Lower back,,Pull,Dumbbells,Compound,Intermediate,Gluteus Maximus; Lateral Hamstrings
Dumbbell High Incline Bench Press,Chest,Shoulders; Triceps,,Push,Dumbbells,Compound,Beginner,Chest
Dumbbell Incline Skullover,Triceps,,,Push,Dumbbells,Isolation,Advanced,
Dumbbell Shoulder External Rotation,Shoulders; Posterior Deltoid; Rear Shoulders,,,Push,Dumbbells,Isolation,Beginner,Posterior Deltoid
Dumbbell Standing Bayesian Lateral Raise,Shoulders; Lateral Deltoid; Front Shoulders,,,Push,Dumbbells,Isolation,Beginner,Lateral Deltoid
Kettlebell High Incline Bench Press,Chest,Shoulders; Triceps,,Push,Kettlebells,Compound,Beginner,Chest
Kettlebell Incline Bench Press,Chest,Shoulders; Triceps,,Push,Kettlebells,Compound,Beginner,Chest
Kettlebell Seated Overhead Press,Shoulders; Lateral Deltoid; Anterior Deltoid; Front Shoulders,Triceps,,Push,Kettlebells,Compound,Beginner,Lateral Deltoid; Anterior Deltoid
Barbell Figure Four Heels Elevated Hip Thrust,Glutes,,,Push,Barbell,Compound,Advanced,
Barbell Heels Elevated Hip Thrust,Glutes,,,Push,Barbell,Compound,Beginner,
Barbell Single Leg Heels Elevated Hip Thrust,Glutes,,,Push,Barbell,Compound,Advanced,
Backward Arm Circle,Shoulders; Lateral Deltoid; Anterior Deltoid; Posterior Deltoid; Front Shoulders; Rear Shoulders,,,Pull,Bodyweight,Isolation,Novice,Lateral Deltoid; Anterior Deltoid; Posterior Deltoid
Bodyweight Alternating Jump Lunge,Glutes; Quads,,,Push,Bodyweight,Compound,Intermediate,
Bodyweight Figure Four Heels Elevated Hip Thrust,Glutes,,,Push,Bodyweight,Compound,Intermediate,
Bodyweight Heels Elevated Hip Thrust,Glutes,,,Push,Bodyweight,Compound,Novice,
Bodyweight Lateral Lunge Jump,Glutes; Quads,,,Push,Bodyweight,Compound,Intermediate,
Bodyweight Pulse Squat,Glutes; Quads,,,Push,Bodyweight,Compound,Novice,
Bodyweight Single Leg Heels Elevated Hip Thrust,Glutes,,,Push,Bodyweight,Compound,Intermediate,
Bodyweight Swing Lunge,Glutes; Quads,,,Push,Bodyweight,Compound,Intermediate,
Bodyweight Swingthrough Lunge,Glutes; Quads,,,Push,Bodyweight,Compound,Intermediate,
Forward Arm Circle,Shoulders; Lateral Deltoid; Anterior Deltoid; Posterior Deltoid; Front Shoulders; Rear Shoulders,,,Push,Bodyweight,Isolation,Novice,Lateral Deltoid; Anterior Deltoid; Posterior Deltoid
In And Out Jump Squat,Glutes; Quads,,,Push,Bodyweight,Compound,Intermediate,
Pole Overhead Squat,Glutes; Quads,Shoulders; Lateral Deltoid; Anterior Deltoid,,Push,Bodyweight,Compound,Beginner,Lateral Deltoid; Anterior Deltoid
Bodyweight Pop Squat,Glutes; Quads,,,Push,Bodyweight,Compound,Novice,
Cardio Assault Bike Arms Only,Shoulders,,,Push,Cardio,Compound,Beginner,
Cardio Assault Bike,Glutes; Quads,Chest,Shoulders; Anterior Deltoid,Push,Cardio,Compound,Novice,Chest; Anterior Deltoid
Cardio Band Hammer Curl Jacks,Biceps; Gluteus Medius,,,Push,Cardio,Compound,Beginner,Gluteus Medius
Cardio Band Press Jacks,Gluteus Medius; Shoulders; Lateral Deltoid; Anterior Deltoid; Triceps; Front Shoulders,,,Push,Cardio,Compound,Beginner,Gluteus Medius; Lateral Deltoid; Anterior Deltoid
Cardio Band Reverse Fly Jacks,Gluteus Medius; Posterior Deltoid; Rear Shoulders,,,Pull,Cardio,Compound,Beginner,Gluteus Medius; Posterior Deltoid
Cardio Band Seal Jacks,Gluteus Medius; Chest,,,Push,Cardio,Compound,Beginner,Gluteus Medius; Chest
Cardio Box Quick Feet,Calves,,,Push,Cardio,Compound,Intermediate,
Cardio Criss Cross Jacks,Calves; Glutes; Gluteus Medius; Shoulders; Lateral Deltoid; Anterior Deltoid; Front Shoulders,,,Push,Cardio,Compound,Beginner,Gluteus Medius; Lateral Deltoid; Anterior Deltoid
Cardio Diamond Hop,Calves,,,Push,Cardio,Compound,Intermediate,
Cardio Figure Eight Sprint,Calves; Glutes; Hamstrings,Quads,,Push,Cardio,Compound,Intermediate,
Cardio Forward Scissor,Abdominals; Lower Abdominals; Glutes; Quads; Rectus Femoris,,,Push,Cardio,Compound,Beginner,Lower Abdominals; Rectus Femoris
Cardio In And Out Forward,Abdominals; Lower Abdominals; Glutes; Quads; Rectus Femoris,,,Push,Cardio,Compound,Beginner,Lower Abdominals; Rectus Femoris
Cardio In And Outs,Calves; Glutes; Gluteus Medius,,,Push,Cardio,Compound,Intermediate,Gluteus Medius
Cardio In In Out Out Shuffle,Calves; Glutes; Gluteus Medius,,,Push,Cardio,Compound,Beginner,Gluteus Medius
Cardio Jumping Jacks,Gluteus Medius; Shoulders; Lateral Deltoid; Anterior Deltoid; Front Shoulders,,,Push,Cardio,Compound,Beginner,Gluteus Medius; Lateral Deltoid; Anterior Deltoid
Cardio Karaoke,Glutes; Quads,,,Push,Cardio,Compound,Intermediate,
Cardio Knee Taps,Calves; Hamstrings; Quads,,,Push,Cardio,Compound,Beginner,
Cardio Lateral Quick Feet,Calves; Glutes; Quads,,,Push,Cardio,Compound,Beginner,
Cardio Lateral Shuffle,Calves; Glutes; Quads,,,Push,Cardio,Compound,Beginner,
Cardio Long Jump,Calves; Glutes; Quads,,,Push,Cardio,Compound,Intermediate,
Cardio Long Jump Shuffle Back,Calves; Glutes; Quads,,,Push,Cardio,Compound,Intermediate,
Cardio Quick Feet,Calves,,,Push,Cardio,Compound,Beginner,
Cardio Row Erg Rower Arms Only,Biceps; Lats,,,Pull,Cardio,Compound,Beginner,
Cardio Row Erg Rower Four Stroke Sprint Start,Biceps; Glutes; Lats; Quads,,,Push,Cardio,Compound,Beginner,
Cardio Row Erg Rower,Biceps; Glutes; Lats; Quads,,,Push,Cardio,Compound,Beginner,
Cardio Row Erg Rower Legs Only,Glutes; Quads,,,Push,Cardio,Compound,Beginner,
Cardio Seal Jacks,Calves; Gluteus Medius,Front Shoulders; Rear Shoulders,,Push,Cardio,,Beginner,Gluteus Medius
Cardio Shuttle Sprint,Calves; Glutes; Quads,,,Push,Cardio,Compound,Beginner,
Cardio Single Leg Forward Hop,Calves,,,Push,Cardio,Isolation,Beginner,
Cardio Single Leg Lateral Hop,Calves,,,Push,Cardio,Isolation,Beginner,
Cardio Skater,Glutes,,,Push,Cardio,Compound,Beginner,
Cardio Skater To Single Leg Burpee,Calves; Glutes; Chest,,,Push,Cardio,Compound,Advanced,Chest
Cardio Ski Erg,Abdominals; Lats; Triceps,,,Pull,Cardio,Compound,Beginner,
Cardio Sprint In Place,Calves; Glutes; Quads,,,Push,Cardio,Compound,Beginner,
Cardio Step Out Jacks,Glutes; Front Shoulders,,,Push,Cardio,Compound,Beginner,
Cardio Three Step Heismans,Calves; Glutes; Hamstrings; Quads,,,Push,Cardio,Compound,Beginner,
Dumbbell Figure Four Heels Elevated Hip Thrust,Glutes,,,Push,Dumbbells,Compound,Intermediate,
Dumbbell Heels Elevated Hip Thrust,Glutes,,,Push,Dumbbells,Compound,Beginner,
Dumbbell Single Leg Heels Elevated Hip Thrust,Glutes,,,Push,Dumbbells,Compound,Advanced,
Rower Knee Tuck,Abdominals,,,Pull,Machine,Isolation,Beginner,
Rower Pike,Abdominals,,,Pull,Machine,Isolation,Intermediate,
Alternating Pole Rotation,Shoulders; Lateral Deltoid; Anterior Deltoid; Posterior Deltoid; Front Shoulders; Rear Shoulders,,,Pull,Stretches,Isolation,Beginner,Lateral Deltoid; Anterior Deltoid; Posterior Deltoid
Pole Rotation,Shoulders; Lateral Deltoid; Anterior Deltoid; Posterior Deltoid; Front Shoulders; Rear Shoulders,,,Pull,Stretches,Isolation,Beginner,Lateral Deltoid; Anterior Deltoid; Posterior Deltoid
Bodyweight Alternating Curtsy Lunge,Glutes; Quads,,,Push,Bodyweight,Compound,Intermediate,
Bodyweight Alternating Lateral Lunge,Glutes; Quads,,,Push,Bodyweight,Compound,Intermediate,
Bodyweight Alternating Reverse Lunges,Glutes; Quads,,,Push,Bodyweight,Compound,Intermediate,
Bodyweight Clapping Push Up,Chest,Triceps,,Push,Bodyweight,Compound,Intermediate,Chest
Bodyweight Diamond Knee Push Ups,Chest,Triceps,,Push,Bodyweight,Compound,Novice,Chest
Bodyweight Elevated Push Up,Chest,Triceps,,Push,Bodyweight,Compound,Intermediate,Chest
Bodyweight Explosive Push Up,Chest,Triceps,,Push,Bodyweight,Compound,Advanced,Chest
Bodyweight Hip Abduction,Glutes,,,Push,Bodyweight,Isolation,Novice,
Bodyweight Incline Knee Push Up,Chest,Triceps,,Push,Bodyweight,Compound,Novice,Chest
Bodyweight Knee Plank Up Down,Abdominals,,,Push,Bodyweight,Compound,Novice,
Bodyweight Knee Push Ups,Chest,Triceps,,Push,Bodyweight,Compound,Novice,Chest
Bodyweight Knee Tricep Extension,Triceps,,,Push,Bodyweight,Compound,Beginner,
Bodyweight Pike Press,Traps (mid-back); Shoulders; Anterior Deltoid; Front Shoulders,Anterior Deltoid; Traps,Triceps,Push,Bodyweight,Compound,Intermediate,Traps (mid-back); Anterior Deltoid
Bodyweight Pike Shrug,Traps; Upper Traps,,,Push,Bodyweight,Isolation,Intermediate,Upper Traps
Bodyweight Plank Up Down,Abdominals,,,Push,Bodyweight,Compound,Beginner,
Bodyweight Tricep Extension,Triceps,,,Push,Bodyweight,Compound,Intermediate,
Kettlebell Step Up Double,Glutes; Quads,,,Push,Kettlebells,Compound,Beginner,
